family	order	class	phylum	kingdom	realm
Finnlakeviridae	Lautamovirales	Ainoaviricetes	Produgelaviricota	Abadenavirae	Varidnaviria
Flaviviridae	Amarillovirales	Flasuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Forsetiviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Fredfastierviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Fusagraviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Fusariviridae	Hypofuvirales	Stelpaviricetes	Pisuviricota	Orthornavirae	Riboviria
Fuselloviridae					
Fuxiviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Gammaflexiviridae	Tymovirales	Alsuviricetes	Kitrinoviricota	Orthornavirae	Riboviria
Gammaormycoviridae	Formycovirales	Orpoviricetes		Orthornavirae	Riboviria
Gandrviridae	Gredzevirales	Arfiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Geminiviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Genomoviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Geplanaviridae	Geplafuvirales	Repensiviricetes	Cressdnaviricota	Shotokuvirae	Floreoviria
Giardiaviridae	Ghabrivirales	Chrymotiviricetes	Duplornaviricota	Orthornavirae	Riboviria
Globuloviridae					
Graaviviridae	Kirjokansivirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Gresnaviridae	Nidovirales	Pisoniviricetes	Pisuviricota	Orthornavirae	Riboviria
Grimontviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Groupodiviridae	Gokushovirales	Microviricetes	Phixviricota	Sangervirae	Volvereviria
Guelinviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Gulliviridae		Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Gulliviroviridae	Priklausovirales	Virophaviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria
Guttaviridae					
Hadakaviridae	Xenadelphovirales	Mycopleornaviricetes	Pisuviricota	Orthornavirae	Riboviria
Hafunaviridae	Thumleimavirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria
Hakuzoviridae	Divaquavirales	Furtirnaviricetes	Artimaviricota	Orthornavirae	Riboviria
